Index,Country,CityCode,CityName,Name,Longitude,Latitude,pop1975,pop1980,pop1990,pop2000,pop2010,pop2020,pop2025,pop2030,pop2040,pop2050,gr1975,gr2000,gr2020,gr2025,gr2050,nr1975,nr2000,nr2020,nr2025,nr2050
0,Afghanistan,4555,Charikar,Charikar,69.16953304,35.01621284,82.7,81.8,63.1,114.2,169.3,209.2,227.1,254,317,395.9,1894,2688,2667,2592,1773,6,8,10,10,9
1,Afghanistan,2644,Firozkoh,Firozkoh,65.25529043,34.52338868,0,0,0,67.7,117.8,181.5,204.8,257.4,338.5,434.3,2293,2867,2947,2913,1585,8,10,12,12,8
2,Afghanistan,742,Herat,Herat,62.20523714,34.3498577,196,233.8,301,417.5,669,1181.8,1259.4,1371.1,1580.1,1768.4,1054,923,413,405,326,4,2,2,2,2
3,Afghanistan,5176,Jalalabad,Jalalabad,70.44821829,34.42752698,66.9,70.7,67.6,191.8,328.6,534.6,587.5,666.4,793.7,910.3,2076,2082,981,927,680,7,6,5,5,4
4,Afghanistan,3775,Kandahar,Kandahar,65.71825895,31.62375039,102,110.6,101.3,247.2,444.7,760.4,799,862.3,1006.6,1150.9,1723,1640,667,662,534,5,4,3,3,3
5,Afghanistan,3958,Kunduz,Kunduz,68.86893252,36.72255843,238.8,223.3,150,231.8,259.2,268.7,287.3,328,398.6,456.8,868,1741,2036,2028,1518,3,5,7,7,7
6,Afghanistan,4703,Kābul (Kabul),Kabul,69.15522047,34.52974629,763.1,1124.7,1896,2714.9,3766.7,5229,5635.7,6254.9,7218,8003,244,106,72,68,56,1,1,1,1,1
7,Afghanistan,2201,Maymana,Maymana,64.78636506,35.91678595,0,0,56.9,65,152,213,229.4,257.7,312,375.1,2293,2876,2614,2560,1855,8,11,8,8,11
8,Afghanistan,3083,Mazar i sharif,Mazar i sharif,67.11595245,36.71154218,242.1,278.3,327.1,331.8,419.5,630.4,651.3,707.7,774.5,848.8,854,1187,839,834,739,2,3,4,4,5
9,Afghanistan,4129,Puli Khumri,Puli Khumri,68.70622889,35.95439092,0,0,0,100.3,162.1,212,228.3,260.7,312.2,379.7,2293,2769,2634,2574,1841,8,9,9,9,10
10,Afghanistan,984,Shindand,Shindand,62.15626771,33.30446142,0,0,0,64,117.6,190.3,213.6,241.6,300.5,370.4,2293,2879,2895,2775,1881,8,12,11,11,12
11,Afghanistan,4331,Taloqan,Taloqan,69.53884439,36.733052,0,0,0,115.5,185.7,270.2,290,324.3,404.2,478.3,2293,2681,2023,2003,1441,8,7,6,6,6
12,Albania,695,Tiranë (Tirana),Tirana,19.80953928,41.3381722,139.6,170.1,244.8,411.5,591.1,846.7,833,819.6,789.7,756.1,1395,940,590,632,835,1,1,1,1,1
13,Algeria,5699,Annaba,Annaba,7.739371315,36.87534444,256.1,329.7,398.8,407.9,425.8,450.8,474.4,493.9,529.1,569.5,791,952,1178,1168,1192,4,4,7,7,7
14,Algeria,5163,Batna,Batna,6.171769915,35.54536399,85.6,116.8,195.8,256,299.2,347.6,366.4,376,393.3,407.3,1870,1587,1563,1565,1709,8,6,8,8,9
15,Algeria,51,Bechar,Bechar,-2.220059903,31.60589704,0,0,69.7,118.4,149.9,188,202.1,219.9,238,271.2,2293,2661,2913,2947,2502,17,24,26,26,23
16,Algeria,4538,Bejaia,Bejaia,5.053793049,36.74320683,76,88.8,119,145.6,174.5,218.5,241.1,255.4,275.9,292.3,1964,2473,2536,2433,2353,9,16,19,18,18
17,Algeria,4936,Biskra,Biskra,5.729061711,34.84825703,65.5,84,130.8,176.8,207.5,282,300.3,310.5,329.1,348.6,2091,2233,1941,1911,2000,12,11,11,11,11
18,Algeria,3338,Blida,Blida,2.848296117,36.50124284,120.5,137.4,188.7,312.6,472.8,634.1,663.1,693,732.9,765.1,1550,1279,830,818,827,5,5,3,3,3
19,Algeria,4501,Bordj Bou Arreridjj,Bordj Bou Arreridjj,4.761430034,36.07427642,55.1,67.3,97,135.2,166.8,197.1,212.8,219.2,240.5,255.4,2231,2550,2831,2785,2594,16,21,24,24,25
20,Algeria,3892,Boumerdes,Boumerdes,3.355516681,36.73000057,0,0,72.2,183.3,389.7,516.4,550.7,579.2,611.2,704.6,2293,2176,1022,998,916,17,9,4,4,5
21,Algeria,2467,Chlef,Chlef,1.332652889,36.1535302,0,51.4,106.5,138.5,168.6,205.1,220.6,230.5,258.6,313.5,2293,2532,2727,2679,2221,17,19,22,21,15
22,Algeria,5363,Constantine,Constantine,6.61875086,36.36071372,320.5,369.4,469.5,476.6,507.5,494.5,519.9,540.7,569.7,593.9,614,802,1072,1063,1128,3,3,6,6,6
23,Algeria,3937,Djelfa,Djelfa,3.256384267,34.66980846,0,0,80.2,154.8,291.8,505.9,542.4,568.3,644.6,704.8,2293,2403,1044,1015,913,17,15,5,5,4
24,Algeria,3444,El Djazaïr (Algiers),Algiers,3.087052212,36.73819652,1514.5,1622.1,1794.1,2182.8,2693.5,3092.7,3246.4,3386.2,3539.5,3689,98,144,151,148,145,1,1,1,1,1
