Index,Country,CityCode,CityName,Name,Longitude,Latitude,pop1975,pop1980,pop1990,pop2000,pop2010,pop2020,pop2025,pop2030,pop2040,pop2050,gr1975,gr2000,gr2020,gr2025,gr2050,nr1975,nr2000,nr2020,nr2025,nr2050
107,Bangladesh,6249,Dhaka,Dhaka,90.5792067,23.75173395,5,6.4,11,17.4,24.6,32.6,36.6,40.8,47.4,52.1,22,9,3,2,1,1,1,1,1,1
1708,Indonesia,5590,Jakarta,Jakarta,106.8248207,-6.327544155,11.7,14.2,19.7,25.6,32.6,39.1,41.9,44.6,49,51.8,4,2,1,1,2,1,1,1,1,1
660,China,11738,Shanghai,Shanghai,121.4369209,31.21477617,4.5,4.9,7.8,14,20.5,27.7,29.6,31.3,33.8,34.9,24,14,5,5,3,2,2,1,1,1
1528,India,8364,New Delhi,New Delhi,77.20781308,28.62573277,6.1,7.4,11.6,18,23.2,29.1,30.2,31.3,32.9,33.9,17,6,4,4,4,3,2,1,1,1
2280,Pakistan,2578,Karachi,Karachi,67.06521577,24.89672661,4.6,5.8,8,10.8,14,19.3,21.4,23.6,28.2,32.6,23,19,11,11,5,1,1,1,1,1
1010,Egypt,4435,Al-Qahirah (Cairo),Cairo,31.26071446,30.06460953,7.4,8.5,11.7,15.7,19.5,24,25.6,27.2,30.2,32.4,14,12,8,7,6,1,1,1,1,1
1924,Japan,6030,Tōkyō (Tokyo),Tokyo,139.6557762,35.66617878,24.3,25.9,28.6,30.3,32.6,33.7,33.4,33,31.9,30.7,1,1,2,3,7,1,1,1,1,1
449,China,11306,Guangzhou,Guangzhou,113.2858934,23.1423195,1.6,2.1,4.1,19,24.2,26.5,27.6,28.4,29.3,29.2,88,3,6,6,8,10,1,2,2,2
2373,Philippines,2369,Manila,Manila,121.0190573,14.58739364,8.3,9.9,13.9,17.8,21.1,24,24.7,25.5,26.7,27.1,12,7,7,8,9,1,1,1,1,1
1447,India,11821,Kolkata,Kolkata,88.35365746,22.58597109,10.5,11.8,14.8,18.4,20.5,22,22.5,23,23.6,23.8,7,5,10,9,10,1,1,2,2,2
1503,India,7945,Mumbai,Mumbai,72.88334263,19.12248076,8.3,9.8,12.8,16,17.7,19.3,20.2,21.1,22.4,23.1,11,11,12,12,11,2,3,3,3,3
2413,Republic of Korea,332,Seoul,Seoul,126.9485375,37.49747576,10.1,12.2,16.9,19,20.5,22.2,22.5,22.6,22.3,21.2,8,4,9,10,12,1,1,1,1,1
2664,Thailand,2286,Krung Thep Maha Nakhon (Bangkok),Bangkok,100.551001,13.76233099,3.7,4.6,6.3,8.4,13,17.3,18.2,19,20,20.5,31,24,15,14,13,1,1,1,1,1
2287,Pakistan,8021,Lahore,Lahore,74.28938936,31.54190088,4.4,5.1,6.2,8,10.5,14,15.2,16.3,18.5,20.4,26,26,20,17,14,2,2,2,2,2
45,Angola,939,Luanda,Luanda,13.29766778,-8.878237896,0,0,0,0.7,3.5,9.8,11.4,13.1,16.8,20.3,2293,496,33,28,15,7,2,1,1,1
260,Brazil,7303,São Paulo,São Paulo,-46.59985821,-23.57674478,10.5,13,15.3,16.7,18.2,18.8,18.9,19,18.8,18.2,6,10,13,13,16,1,1,1,1,1
351,China,9020,Beijing,Beijing,116.372225,39.92748907,5.2,5.6,6.6,9.6,14.3,16.5,17,17.6,18.1,18,21,21,16,16,17,1,3,3,3,3
2013,Mexico,5439,Ciudad de México (Mexico City),Mexico City,-99.10493868,19.44482413,11.1,13.2,15.6,17.6,18.3,17.6,17.7,17.8,17.9,17.7,5,8,14,15,18,1,1,1,1,1
2950,Viet Nam,5435,Ho Chi Minh City,Ho Chi Minh City,106.6934131,10.82229963,2.4,2.9,3.8,6,9.3,13.1,14.1,14.9,16.2,17.2,54,38,24,20,19,1,1,1,1,1
2701,Türkiye,2626,Istanbul,Istanbul,28.97923918,41.0163332,5.3,6.2,8.8,10.6,13,14.6,15,15.4,16,16.3,20,20,17,18,20,1,1,1,1,1
2196,Nigeria,1265,Lagos,Lagos,3.310280785,6.568448747,2.6,3.4,5.8,7.9,10.1,12,12.8,13.6,15,16.2,46,27,27,26,21,1,1,1,1,1
2450,Russian Federation,2485,Moskva (Moscow),Moscow,37.63834762,55.75037076,8.5,9.1,10.2,11.2,12.8,14.3,14.5,14.8,15.1,15.5,10,18,18,19,22,1,1,1,1,1
674,China,11478,Shenzhen,Shenzhen,114.0066049,22.7078349,0.5,0.7,1.4,8.2,11.7,13.4,13.9,14.3,14.7,14.7,383,25,23,23,23,59,4,4,4,4
1246,India,9949,Bengaluru,Bengaluru,77.56263402,13.00626653,2.4,3.1,4.4,6.1,8.9,12.9,13.2,13.6,14,14.3,55,37,25,24,24,8,6,4,4,4
58,Argentina,4459,Buenos Aires,Buenos Aires,-58.51281868,-34.650789,8.6,9.3,10.4,11.7,13.3,13.9,14,14.1,14.3,14.2,9,16,21,21,25,1,1,1,1,1
2855,United States of America,1725,Los Angeles,Los Angeles,-118.1167203,33.98423645,7.7,8.2,10.2,11.2,11.7,12.5,12.7,13.1,13.5,13.9,13,17,26,27,26,2,2,2,2,1
1371,India,11027,Hajipur,Hajipur,85.45099537,25.98099899,0.7,0.9,1.8,3.4,6.4,9.1,9.9,11.1,12.6,13.7,255,77,37,34,27,28,11,6,6,5
2869,United States of America,8354,New York City,New York City,-73.93268539,40.73785789,12.1,11.7,12,13,13.4,14,13.9,13.8,13.6,13.2,3,15,19,22,28,1,1,1,1,2
959,Democratic Republic of the Congo,1854,Kinshasa,Kinshasa,15.32610497,-4.38339104,1,1.6,3.1,5.3,6.3,10.5,10.9,11.6,12.5,13.2,158,42,29,30,29,1,1,1,1,1
2796,United Republic of Tanzania,3566,Dar es Salaam,Dar es Salaam,39.22414175,-6.833528438,0.3,0.5,1.2,2.1,3.8,6.9,7.8,8.9,11,13.2,666,153,51,42,30,1,1,1,1,1
869,Colombia,3883,Bogotá,Bogotá,-74.11226987,4.643829067,3.4,3.8,4.9,6.3,8,9.9,10.6,11.2,12.1,12.5,36,34,32,31,31,1,1,1,1,1
2349,Peru,1987,Lima,Lima,-77.01100193,-12.04457529,3.5,4.2,5.5,7,8.5,10,10.6,11.1,11.9,12.4,33,32,30,32,32,1,1,1,1,1
2778,United Kingdom,5938,London,London,-0.126985379,51.50892647,7.4,7,7.1,7.7,8.6,10,10.4,10.8,11.4,11.9,16,29,31,33,33,1,1,1,1,1
1292,India,10747,Chennai,Chennai,80.20337366,13.04446281,4.5,5.2,6.3,7.6,9.3,10.9,11.2,11.4,11.6,11.8,25,30,28,29,34,4,4,5,5,6
1098,Ethiopia,6353,Ādīs Ᾱbeba (Addis Ababa),Addis Ababa,38.74898285,9.007142926,0.9,1.1,2,2.8,3.7,5.9,6.7,7.6,9.3,10.8,204,101,64,59,35,1,1,1,1,1
1982,Malaysia,1629,Kuala Lumpur,Kuala Lumpur,101.6334545,3.100257157,0.2,0.7,2.2,4.1,5.7,7.9,8.4,9.1,10,10.6,1192,54,41,41,36,3,1,1,1,1
