Index,Name,Country,Region,pop2050
107,Dhaka,Bangladesh,S Asia,52.1
1708,Jakarta,Indonesia,SE Asia,51.8
660,Shanghai,China,E Asia,34.9
1528,New Delhi,India,S Asia,33.9
2280,Karachi,Pakistan,S Asia,32.6
1010,Cairo,Egypt,Africa,32.4
1924,Tokyo,Japan,E Asia,30.7
449,Guangzhou,China,E Asia,29.2
2373,Manila,Philippines,SE Asia,27.1
1447,Kolkata,India,S Asia,23.8
1503,Mumbai,India,S Asia,23.1
2413,Seoul,Republic of Korea,E Asia,21.2
2664,Bangkok,Thailand,SE Asia,20.5
2287,Lahore,Pakistan,S Asia,20.4
45,Luanda,Angola,Africa,20.3
260,São Paulo,Brazil,S America,18.2
351,Beijing,China,E Asia,18
2013,Mexico City,Mexico,N America,17.7
2950,Ho Chi Minh City,Viet Nam,SE Asia,17.2
2701,Istanbul,Türkiye,Europe,16.3
2196,Lagos,Nigeria,Africa,16.2
2450,Moscow,Russian Federation,Europe,15.5
674,Shenzhen,China,E Asia,14.7
1246,Bengaluru,India,S Asia,14.3
58,Buenos Aires,Argentina,S America,14.2
2855,Los Angeles,United States of America,N America,13.9
1371,Hajipur,India,S Asia,13.7
2869,New York City,United States of America,N America,13.2
959,Kinshasa,Democratic Republic of the Congo,Africa,13.2
2796,Dar es Salaam,United Republic of Tanzania,Africa,13.2
869,Bogotá,Colombia,S America,12.5
2349,Lima,Peru,S America,12.4
2778,London,United Kingdom,Europe,11.9
1292,Chennai,India,S Asia,11.8
1098,Addis Ababa,Ethiopia,Africa,10.8
1982,Kuala Lumpur,Malaysia,SE Asia,10.6
1913,Osaka,Japan,E Asia,10.4
908,Abidjan,Côte d'Ivoire,Africa,9.8
1686,Bandung,Indonesia,SE Asia,9.7
468,Hangzhou,China,E Asia,9.6
1386,Hyderabad,India,S Asia,9.5
1821,Tehran,Iran (Islamic Republic of),Middle East,9.5
2620,Khartoum,Sudan,Africa,9.4
1114,Paris,France,Europe,9.3
248,Rio de Janeiro,Brazil,S America,9.3
2500,Riyadh,Saudi Arabia,Middle East,9.2
1012,Alexandria,Egypt,Africa,9
2556,Johannesburg,South Africa,Africa,8.9
2214,Onitsha,Nigeria,Africa,8.7
288,Yaoundé,Cameroon,Africa,8.7
